Id,SalePrice
1461,117013.206032
1462,160599.535343
1463,189001.516119
1464,198240.128436
1465,200019.307119
1466,171662.436451
1467,173617.578885
1468,161721.751941
1469,203314.810463
1470,113173.543608
1471,158144.79291
1472,100667.605483
1473,97565.559511
1474,141682.501824
1475,95128.1455977
1476,373408.706524
1477,258017.150079
1478,306571.508132
1479,305672.463574
1480,475275.082217
1481,324036.088894
1482,206668.148893
1483,181377.195511
1484,161253.626097
1485,186424.456205
1486,195321.516206
1487,345950.257685
1488,222369.710916
1489,200090.413032
1490,251976.609054
1491,204256.729754
1492,100708.166073
1493,196729.45824
1494,303714.871638
1495,295913.545059
1496,237450.629984
1497,167138.220466
1498,169756.214403
1499,163035.496417
1500,154996.125361
1501,197803.155282
1502,137373.446217
1503,315642.7488
1504,233856.951919
1505,223646.673475
1506,194105.237623
1507,251750.987947
1508,204335.474586
1509,156526.833141
1510,150000.591715
1511,158910.241182
1512,176084.80521
1513,147119.864751
1514,173112.744724
1515,206523.404643
1516,167132.663174
1517,185320.637227
1518,125023.580651
1519,222018.551828
1520,123787.298881
1521,134688.644695
1522,190214.268241
1523,109981.113087
1524,117437.161985
1525,120903.047234
1526,103947.808071
1527,106159.818582
1528,129555.696857
1529,161928.471352
1530,211026.973629
1531,138229.885432
1532,88571.0586895
1533,153771.061065
1534,126990.544187
1535,154277.654196
1536,104938.303845
1537,53203.1998686
1538,162913.80914
1539,202166.746779
1540,120355.872104
1541,142531.334126
1542,150754.519963
1543,188636.176082
1544,75769.8905105
1545,115071.977269
1546,143491.932801
1547,140010.793766
1548,139812.278511
1549,123833.808684
1550,145155.278832
1551,104883.411861
1552,153025.484713
1553,157661.345019
1554,116306.801979
1555,169563.999643
1556,74432.4637425
1557,121482.600535
1558,104217.984843
1559,74661.4296328
1560,119577.707243
1561,135731.887826
1562,133090.446251
1563,127227.535327
1564,159291.105139
1565,162015.091411
1566,229742.64134
1567,73666.5514449
1568,237562.100048
1569,153919.896393
1570,133460.457805
1571,103307.74542
1572,144505.883926
1573,269068.857965
1574,136546.389451
1575,234548.51778
1576,246961.530182
1577,182635.143194
1578,159690.988324
1579,143194.387212
1580,191753.606183
1581,156605.804897
1582,126796.851517
1583,281435.8332
1584,222328.906648
1585,133598.823503
1586,72012.1329823
1587,108908.369394
1588,157092.629093
1589,103868.786902
1590,120558.934116
1591,84232.7105891
1592,126647.725211
1593,125323.218951
1594,129724.272028
1595,115045.961678
1596,227121.963842
1597,216795.086099
1598,211630.479455
1599,179234.54917
1600,163876.757657
1601,52053.7449065
1602,129459.224464
1603,58946.5397296
1604,272305.495415
1605,232053.604385
1606,153442.198542
1607,175021.050311
1608,208624.910292
1609,189489.723552
1610,160045.829377
1611,138451.220111
1612,189686.827478
1613,171086.629
1614,132852.837425
1615,90426.1368253
1616,67830.7834306
1617,83037.1019937
1618,128284.653388
1619,146979.003169
1620,179539.133699
1621,137354.771787
1622,157477.683923
1623,265256.274312
1624,217788.695656
1625,115128.674479
1626,176136.531506
1627,192926.791941
1628,276895.360567
1629,175632.075428
1630,346695.587009
1631,241545.490872
1632,243692.511445
1633,175880.472733
1634,187936.382936
1635,175434.760728
1636,147180.431198
1637,199911.357957
1638,185519.017208
1639,183566.771171
1640,237864.969369
1641,183484.159925
1642,262483.734638
1643,216394.864045
1644,232805.89682
1645,211997.896814
1646,160696.921335
1647,154687.962288
1648,127346.065924
1649,131986.85609
1650,108832.772679
1651,114474.424545
1652,100323.948587
1653,98299.3639754
1654,140054.699228
1655,115101.709362
1656,141248.153067
1657,150729.918461
1658,147950.999165
1659,111723.04831
1660,157439.906788
1661,430690.443096
1662,366956.67899
1663,378307.828115
1664,476322.739498
1665,328020.677983
1666,330252.711888
1667,377803.523921
1668,357727.602459
1669,310486.25276
1670,357301.420533
1671,271134.076863
1672,398607.459119
1673,291618.946953
1674,243211.993508
1675,201794.681002
1676,204515.973038
1677,217746.656751
1678,472881.502551
1679,382850.646324
1680,333285.802809
1681,277001.079532
1682,323937.896399
1683,188554.765086
1684,177287.382697
1685,175980.352938
1686,161771.414122
1687,163572.39436
1688,191644.194787
1689,191731.843843
1690,197522.046266
1691,186844.114471
1692,258790.878256
1693,172587.276327
1694,184024.404258
1695,164093.303793
1696,268571.578227
1697,169063.351544
1698,345831.521503
1699,332498.128058
1700,281923.128186
1701,288956.880452
1702,231210.268264
1703,226656.545278
1704,266591.944038
1705,247462.271745
1706,220522.378698
1707,228525.634943
1708,201713.846156
1709,248210.473897
1710,220037.585976
1711,271593.327738
1712,253365.618607
1713,276479.510522
1714,221364.606777
1715,207121.542248
1716,183723.427041
1717,176636.132951
1718,141214.939975
1719,231318.545973
1720,237568.252858
1721,157842.054888
1722,120171.105862
1723,159178.632177
1724,213549.860101
1725,242613.232358
1726,188652.904023
1727,144160.335601
1728,167083.168729
1729,176761.49206
1730,158238.962956
1731,110987.022199
1732,133990.735114
1733,112366.656351
1734,123393.283065
1735,107967.187276
1736,95574.8087076
1737,276998.96233
1738,277007.901514
1739,240639.796498
1740,220697.156253
1741,191093.30507
1742,175569.066853
1743,171033.523978
1744,358903.508103
1745,230901.05272
1746,183886.165535
1747,221984.89352
1748,219474.403656
1749,141483.76076
1750,127816.208633
